"Date","Price","Open","High","Low","Vol.","Change %"
"07-10-2024","76,235","76,005","76,295","75,870","2.38K","0.93%"
"04-10-2024","75,530","75,649","75,833","75,275","0.04K","0.01%"
"03-10-2024","75,519","75,520","75,631","75,170","0.07K","-0.19%"
"01-10-2024","75,666","75,030","75,889","74,997","0.07K","1.06%"
"30-09-2024","74,869","75,374","75,649","74,660","0.60K","0.01%"
"27-09-2024","74,858","75,376","75,434","74,751","4.42K","-0.70%"
"26-09-2024","75,387","75,344","75,723","75,152","7.81K","0.10%"
"25-09-2024","75,313","75,101","76,000","75,000","5.24K","0.41%"
"24-09-2024","75,003","74,353","75,049","74,350","8.59K","0.95%"
"23-09-2024","74,295","74,205","74,417","73,983","8.39K","0.34%"
"20-09-2024","74,040","73,619","74,180","73,457","8.22K","0.82%"
"19-09-2024","73,438","72,930","73,620","72,785","9.09K","0.52%"
"18-09-2024","73,055","73,199","73,329","72,989","4.23K","-0.05%"
"17-09-2024","73,094","73,298","73,598","72,938","6.27K","-0.55%"
"16-09-2024","73,496","73,600","73,753","73,370","3.89K","-0.03%"
"13-09-2024","73,515","73,128","73,613","73,081","6.80K","0.95%"
"12-09-2024","72,824","71,918","72,880","71,870","9.84K","1.25%"
"11-09-2024","71,927","72,001","72,225","71,608","7.59K","0.02%"
"10-09-2024","71,913","71,695","71,999","71,580","5.12K","0.40%"
"09-09-2024","71,628","71,504","71,700","71,127","5.03K","0.28%"
"06-09-2024","71,426","71,961","72,235","71,220","10.41K","-0.68%"
"05-09-2024","71,917","71,481","72,120","71,406","7.92K","0.63%"
"04-09-2024","71,466","71,400","71,595","70,913","7.05K","0.12%"
"03-09-2024","71,381","71,629","71,765","71,001","7.43K","-0.31%"
"02-09-2024","71,601","71,512","71,800","71,426","2.90K","-0.01%"
"30-08-2024","71,611","71,900","72,199","71,521","7.88K","-0.80%"
"29-08-2024","72,188","71,880","72,249","71,700","7.88K","0.62%"
"28-08-2024","71,743","71,980","72,075","71,514","6.19K","-0.53%"
"27-08-2024","72,122","71,898","72,160","71,740","5.06K","0.12%"
"26-08-2024","72,039","71,852","72,251","71,755","5.34K","0.37%"
"23-08-2024","71,777","71,474","71,940","71,302","7.32K","0.82%"
"22-08-2024","71,194","71,670","71,884","70,894","8.50K","-0.89%"
"21-08-2024","71,830","71,857","72,099","71,470","5.84K","0.07%"
"20-08-2024","71,777","71,530","72,272","71,403","8.32K","0.27%"
"19-08-2024","71,584","71,458","71,720","71,181","6.07K","0.29%"
"16-08-2024","71,375","70,303","71,475","70,279","9.58K","1.77%"
"14-08-2024","70,136","70,579","71,020","70,035","7.52K","-0.80%"
"13-08-2024","70,699","70,630","70,920","70,538","5.09K","-0.06%"
"12-08-2024","70,738","69,719","70,779","69,714","6.44K","1.21%"
"09-08-2024","69,895","69,470","69,995","69,470","4.93K","0.27%"
"08-08-2024","69,704","68,896","69,750","68,810","5.62K","1.07%"
"07-08-2024","68,965","69,440","69,440","68,740","4.65K","0.00%"
"06-08-2024","68,965","69,437","69,470","68,703","7.68K","-1.80%"
"05-08-2024","70,230","70,082","71,499","69,565","0.01K","-0.04%"
"02-08-2024","70,255","70,200","70,420","69,445","0.03K","0.86%"
"01-08-2024","69,654","69,624","69,940","69,282","0.15K","0.93%"
"31-07-2024","69,012","69,117","69,460","68,950","0.23K","0.59%"
"30-07-2024","68,610","68,273","68,699","67,945","2.33K","0.50%"
"29-07-2024","68,268","68,426","68,670","68,040","6.04K","0.12%"
"26-07-2024","68,186","67,990","68,340","67,666","6.22K","1.07%"
"25-07-2024","67,462","68,015","68,105","67,400","10.42K","-2.16%"
"24-07-2024","68,952","68,790","69,299","68,652","7.62K","0.65%"
"23-07-2024","68,510","72,838","72,850","68,456","27.81K","-5.79%"
"22-07-2024","72,718","73,161","73,185","72,501","7.00K","-0.37%"
"19-07-2024","72,990","73,810","73,866","72,930","8.51K","-1.57%"
"18-07-2024","74,155","74,364","74,538","74,050","4.56K","0.02%"
"17-07-2024","74,137","74,259","74,731","74,068","4.11K","-0.18%"
"16-07-2024","74,273","73,657","74,309","73,531","7.43K","1.09%"
"15-07-2024","73,471","73,105","73,737","73,035","4.56K","0.28%"
"12-07-2024","73,269","73,204","73,292","72,919","4.86K","-0.06%"
"11-07-2024","73,311","72,815","73,333","72,730","7.49K","0.88%"
"10-07-2024","72,668","72,530","72,972","72,500","4.80K","0.37%"
"09-07-2024","72,398","72,578","72,634","72,111","4.75K","0.09%"
"08-07-2024","72,333","73,038","73,068","72,130","5.34K","-0.98%"
"05-07-2024","73,051","72,412","73,149","72,205","6.45K","0.95%"
"04-07-2024","72,367","72,412","72,485","72,237","3.10K","-0.05%"
"03-07-2024","72,403","71,713","72,573","71,685","7.32K","1.19%"
"02-07-2024","71,554","71,684","71,840","71,432","5.30K","-0.14%"
"01-07-2024","71,654","71,606","71,875","71,375","5.20K","0.10%"
"28-06-2024","71,582","71,422","71,850","71,402","4.84K","0.01%"
"27-06-2024","71,572","70,992","71,695","70,870","5.69K","0.68%"
"26-06-2024","71,089","71,518","71,522","70,882","6.28K","-0.53%"
"25-06-2024","71,467","71,712","71,917","71,366","5.52K","-0.45%"
"24-06-2024","71,791","71,716","71,860","71,531","3.48K","0.29%"
"21-06-2024","71,584","72,677","72,867","71,540","9.10K","-1.38%"
"20-06-2024","72,586","71,880","72,850","71,806","7.63K","1.19%"
"19-06-2024","71,732","71,740","71,886","71,610","2.60K","-0.01%"
"18-06-2024","71,739","71,575","71,773","71,175","6.29K","0.40%"
"17-06-2024","71,450","71,672","71,783","71,325","3.09K","-0.72%"
"14-06-2024","71,965","71,263","72,035","71,158","6.70K","1.16%"
"13-06-2024","71,138","71,475","71,750","70,976","8.14K","-1.16%"
"12-06-2024","71,970","71,523","72,172","71,421","6.52K","0.67%"
"11-06-2024","71,490","71,251","71,709","71,004","4.26K","0.07%"
"10-06-2024","71,438","71,149","71,490","70,751","5.73K","0.12%"
"07-06-2024","71,353","73,237","73,516","71,172","13.00K","-2.43%"
"06-06-2024","73,131","72,879","73,308","72,638","4.98K","1.45%"
"05-06-2024","72,088","72,139","72,522","71,500","0.02K","0.42%"
