"Date","Price","Open","High","Low","Vol.","Change %"
"08-10-2024","221,583","221,927","222,403","221,188","","-0.14%"
"07-10-2024","221,887","222,775","223,425","221,568","","-0.47%"
"04-10-2024","222,933","223,121","224,308","221,197","","-0.04%"
"03-10-2024","223,030","223,169","223,686","221,724","","0.00%"
"02-10-2024","223,032","223,496","223,642","221,771","","-0.15%"
"01-10-2024","223,361","220,746","224,392","220,596","","1.23%"
"30-09-2024","220,641","222,553","223,207","219,911","","-0.83%"
"27-09-2024","222,498","223,498","223,739","221,284","","-0.40%"
"26-09-2024","223,395","222,167","224,597","222,032","","0.58%"
"25-09-2024","222,117","222,188","223,235","221,540","","0.01%"
"24-09-2024","222,098","219,590","222,776","219,203","","1.20%"
"23-09-2024","219,459","218,895","220,243","218,312","","0.26%"
"20-09-2024","218,894","216,322","219,268","216,154","","1.21%"
"19-09-2024","216,270","214,110","217,123","213,658","","1.04%"
"18-09-2024","214,035","215,262","217,534","213,080","","-0.52%"
"17-09-2024","215,164","216,579","216,941","214,534","","-0.57%"
"16-09-2024","216,408","216,261","217,290","216,007","","0.09%"
"13-09-2024","216,215","214,767","216,955","214,540","","0.70%"
"12-09-2024","214,710","210,906","214,878","210,837","","1.82%"
"11-09-2024","210,878","211,343","212,360","210,021","","-0.14%"
"10-09-2024","211,172","210,412","211,501","209,930","","0.44%"
"09-09-2024","210,238","209,725","210,508","208,616","","0.25%"
"06-09-2024","209,713","211,379","212,284","208,607","","-0.75%"
"05-09-2024","211,290","209,540","211,954","209,414","","0.86%"
"04-09-2024","209,483","209,401","209,950","207,527","","0.14%"
"03-09-2024","209,186","209,810","210,457","207,715","","-0.22%"
"02-09-2024","209,640","209,909","210,467","208,912","","-0.13%"
"30-08-2024","209,922","211,513","211,949","209,159","","-0.74%"
"29-08-2024","211,478","210,004","212,088","209,990","","0.65%"
"28-08-2024","210,114","211,972","212,249","209,391","","-0.76%"
"27-08-2024","211,734","211,218","212,005","210,098","","0.30%"
"26-08-2024","211,099","210,493","212,083","210,315","","0.27%"
"23-08-2024","210,540","208,559","211,106","208,237","","1.01%"
"22-08-2024","208,443","210,725","211,006","207,454","","-1.02%"
"21-08-2024","210,593","210,689","211,461","209,295","","0.07%"
