"NEWSPAPER PUBLIC NOTICE FOR AUCTION OF GOLD JEWELLARY BAJAJ FINANCE LIMITED (?BFL?); REGISTERED OFFICE: MUMBAI - PUNE ROAD, AKURDI, PUNE ? 411035. IT IS HEREBY NOTIFIED BY BFL TO ALL CONCERNED AND THE GENERAL PUBLIC THAT GOLD ORNAMENTS SUBMITTED BY CUSTOMERS TO BAJAJ FINANCE LTD. AT THE TIME OF AVAILING GOLD LOAN, IN THE BELOW MENTIONED ACCOUNTS WILL BE AUCTIONED ON AN ?AS IS WHERE IS BASIS AND AS IS WHAT IS BASIS? AT BELOW VENUE FROM 10:00 A.M. FOR BELOW MENTIONED LOAN ACCOUNTS OF CUSTOMERS WHO HAVE DEFAULTED IN REPAYMENT OF LOAN AMOUNT  OR HAVE  FAILED TO PROVIDE THE REQUIRED MARGIN,  DESPITE  REPEATED NOTICES. THE  BIDDERS ARE REQUESTED TO DEPOSIT EARNEST MONEY DEPOSIT OF RS. 25,000/- BY WAY OF RTGS/NEFT/IMPS ON DAY OF AUCTION. THE BIDDERS SHOULD CARRY THEIR VALID ID CARD/PAN CARD AT THE AUCTION VENUE. CHANGE IN VENUE AND DATE OF AUCTION, IF ANY, WILL BE DISPLAYED AT THE AUCTION CENTRE. PLEASE READ THE COMPLETE TERMS AND CONDITIONS (?T&CS?)    PERTAINING    TO    THIS    PUBLIC    AUCTION,    BY    CHECKING    THE    FOLLOWING    WEBLINK    https://cms-
assets.bajajfinserv.in/is/content/bajajfinance/bidder-tcpdf?scl=1&fmt=pdf; YOUR SUBMISSION OF BID IS CONSTRUED AS A DEEMED ACCEPTANCE TO THE SAID T&CS. IN THE ABSENCE/FAILURE/CANCELLATION OF PUBLIC AUCTION SALE, BFL MAY, AT THE INSTANCE OF THE BORROWER(S) ALSO RESERVE ITS RIGHT TO SELL THE PLEDGED JEWELLERY THROUGH PRIVATE SALE.
In pursuant to advertisement given in leading newspapers below are the details of loans taken for auction",,,,,,,,
"Agre emen t Num
ber",Disb urse ment Date,"Loa n Am ou
nt",Numb er of Orna ments,"Gross Weight of Ornamen
ts( gm)","Au ctio n Dat
e",Auction Place,Branch Address,
"PV97 GOL5 8444
31","31-
Oct- 22","168
49",1,5,"16-
Jan
-24",Adilabad Dwaraka nagar I,"Mahajan Complex, First floor, Busstand road. Dwaraka nagar, Adilabad- 504001",
"PV97 GOL5 8477
42","31-
Oct- 22","361
49",1,10.6,"16-
Jan
-24",Adilabad Dwaraka nagar I,,
"PV97 GOL5 8703
93","03-
Nov- 22","500
50",1,14.79,"16-
Jan
-24",Adilabad Dwaraka nagar I,,
"PV97 GOL5 8965
55","07-
Nov- 22","145
149",1,47.5,"16-
Jan
-24",Adilabad Dwaraka nagar I,,
"PV97 GOL5 9456
50","12-
Nov- 22","514
9",1,2.1,"16-
Jan
-24",Adilabad Dwaraka nagar I,,
"PV97 GOL5 9601
07","14-
Nov- 22","296
49",1,9,"16-
Jan
-24",Adilabad Dwaraka nagar I,,
"PV97 GOL5 9755
09","16-
Nov- 22","210
99",1,7,"16-
Jan
-24",Adilabad Dwaraka nagar I,,
"PV97 GOL6 0179
74","21-
Nov- 22","664
78",2,20.7,"16-
Jan
-24",Adilabad Dwaraka nagar I,,
"PKB9 SGL5 8944
74","07-
Nov- 22","574
99",1,20.04,"15-
Jan
-24",Ahmedabad Gurukul GL,"Balaji Complex, shop No F6 & 7; 1st Floor, Opp Swaminarayan Gurukul Mandir, Drive IN Road, Gurukul, Ahmedabad - 380052",
"PLB1 SGL5 8474
60","31-
Oct- 22","498
49",1,14.56,"15-
Jan
-24",AHMEDABAD NIKOL GL,"Ground Floor, Shop No F32-33,Pancham Shopping Mall, Near Jivan Wadi, Nikol Above SBI Bank Ahmedabad,382350",
PLB1 GOL5,"09-
Nov-
22","712
63",1,20.69,"15-
Jan
-24",AHMEDABAD NIKOL GL,,
"9153
13",,,,,,,,
"POB2 SGL5 8750
79","04-
Nov- 22","350
00",2,10.55,"15-
Jan
-24",AHMEDABAD VASTRAL GL,"Ground Floor, Shop No 05, Radhekishan Complex, Opp karnavati Megha Mall, Vastral, Ahmedabad-382418",
"PLB3 SGL5 9346
36","11-
Nov- 22","199
649",6,59.35,"15-
Jan
-24",AHMEDABAD VIRAT NAGAR GL,"Ground Floor, Shop 1, Pioneer Plaza,Viranagar Road,Soni ni Chal,Odhav Ahmedabad,Gujarat 382415",
"P441 GOL5 8675
86","03-
Nov- 22","332
49",2,10.65,"15-
Jan
-24",Ahmednagar Delhigate GL,"Chhindam Heights; Ground floor, CTS.NO 7612/1, Delhigate, Near shani Mandir, Ahmednagar, MH 414001",
"P441 GOL5 8872
97","05-
Nov- 22","894
48",1,32.88,"15-
Jan
-24",Ahmednagar Delhigate GL,,
"P441 GOL5 9065
72","08-
Nov- 22","259
59",1,8.27,"15-
Jan
-24",Ahmednagar Delhigate GL,,
"P441 GOL5 9234
36","10-
Nov- 22","320
93",1,9.36,"15-
Jan
-24",Ahmednagar Delhigate GL,,
"P441 GOL5 9653
29","15-
Nov- 22","104
981",3,33.98,"15-
Jan
-24",Ahmednagar Delhigate GL,,
"P441 GOL5 9658
12","15-
Nov- 22","824
9",1,2.56,"15-
Jan
-24",Ahmednagar Delhigate GL,,
"P441 GOL5 9789
02","16-
Nov- 22","459
49",1,15.53,"15-
Jan
-24",Ahmednagar Delhigate GL,,
"P65H GOL5 8308
94","29-
Oct- 22","211
49",2,10.8,"15-
Jan
-24",AJMER GL,"Bajaj Finance Limited, 2nd Floor, Near Martindale Bridge,  Above Muthoot Finance,  Beawar Road,  Ajmer, Rajasthan ? 305001",
"P65H GOL5 8483
83","31-
Oct- 22","397
682",9,163.4,"15-
Jan
-24",AJMER GL,,
"P65H GOL5 8543
87","01-
Nov- 22","113
49",1,3.6,"15-
Jan
-24",AJMER GL,,
"P65H GOL5 8592
88","02-
Nov- 22","121
49",1,3.7,"15-
Jan
-24",AJMER GL,,
"P65H GOL5 8599
97","02-
Nov- 22","300
39",2,10.01,"15-
Jan
-24",AJMER GL,,
"P65H GOL5 8705
81","03-
Nov- 22","138
209",7,42.8,"15-
Jan
-24",AJMER GL,,
P65H GOL5,"04-
Nov-
22","301
12",1,11.85,"15-
Jan
-24",AJMER GL,,
"8772
84",,,,,,,,
"P65H GOL5 8867
37","05-
Nov- 22","101
49",1,4.7,"15-
Jan
-24",AJMER GL,,
"P65H GOL5 9146
68","09-
Nov- 22","518
3",1,5.6,"15-
Jan
-24",AJMER GL,,
"P65H GOL5 9148
81","09-
Nov- 22","276
49",4,23.65,"15-
Jan
-24",AJMER GL,,
